PACIFICIRANJE, IMENICA
TERMOSTABILNI, PRIDJEV
NAJUTVRĐENIJI, PRIDJEV
OBNOVLJANJE, IMENICA
RAZGLOBLJEN, PRIDJEV
REKRISTALIZACIJA, IMENICA
NAPLATNIČAR, IMENICA
PRIDRUŽIVATI, GLAGOL
DRAGOVOLJNO, PRILOG
ANASTIGMATSKI, PRIDJEV
TEMPERATURAN, PRIDJEV
DETEKTIRANJE, IMENICA
PROTEKCIONIZAM, IMENICA
SPEKULACIJA, IMENICA
MEĐUDJELUJUĆI, PRIDJEV
GRAF, IMENICA
NAJDOMINANTNIJI, PRIDJEV
TRANSGRESIVNI, PRIDJEV
MIKROPROBLEM, IMENICA
RADIO-NAVIGACIJA, IMENICA
DILATOMETRIJA, IMENICA
ORGANO-TERAPEUTSKI, PRIDJEV
WK, IMENICA
BIO-NANOTEHNOLOGIJA, IMENICA
SAMOUBOJSTVO, IMENICA
TEHNOLOŠKO-RAZVOJNI, PRIDJEV
NAMAMLJUJUĆI, PRILOG
SHAKESPEAROV, PRIDJEV
MARTINČEVIĆ, IMENICA
TELEUTOSPORA, IMENICA
IMIGRANTSKI, PRIDJEV
JFK, IMENICA
JEZIČNO-ŽDRIJELNI, PRIDJEV
VULKANIZIRAVŠI, PRILOG
JAVNOBILJEŽNIČKI, PRIDJEV
DEREGULIRANJE, IMENICA
NAJČUVSTVENIJI, PRIDJEV
DENOTATIVAN, PRIDJEV
PRINCIPIJELNOST, IMENICA
USPIJEVAJUĆI, PRILOG
VULGARIZACIJA, IMENICA
J-UDARAC, IMENICA
MORSIKACIJA, IMENICA
TRANSOSEALNI, PRIDJEV
GLASOVITIJI, PRIDJEV
POTCIJENJIVATI, GLAGOL
NESHVATLJIVIJI, PRIDJEV
SAMOSINKRONIZIRANI, PRIDJEV
NASMIJANIJI, PRIDJEV
KRVOLOČNIJI, PRIDJEV
FOTOKOPIRAJUĆI, PRIDJEV
PEDESETOSMOGODIŠNJI, PRIDJEV
DUBLIRAJUĆI, PRIDJEV
IZVANPARNIČNI, PRIDJEV
NAJMASOVNIJI, PRIDJEV
EKVIVALENTNI, PRIDJEV
POOBJEDOVATI, GLAGOL
NAJIZMANIPULIRANIJI, PRIDJEV
UTUVLJIVATI, GLAGOL
BRIK-ŠKUNER, IMENICA
NEDIPLOMATSKI, PRIDJEV
MELANHOLIČNIJI, IMENICA
POSKRIVEČKI, PRILOG
TRABUNJANJE, IMENICA
BOLESLAVSKI, PRIDJEV
IMAGINATIVAN, PRIDJEV
BUM, IMENICA
EKONOMIZIRAN, PRIDJEV
PROUČAVANJE, IMENICA
KONSTATOVANJE, IMENICA
KONSTRUIRANOST, IMENICA
FGIS, KRATICA
INSPIRIRANI, PRIDJEV
NARONITANSKI, PRIDJEV
NASLOVLJAVATI, IMENICA
PETROGRAFSKI, PRIDJEV
SAMOORGANIZIRAJUĆI, PRIDJEV
OMASOVLJENJE, IMENICA
REVOLUCIONIRANJE, IMENICA
DIMETILSULFAMID, IMENICA
GRAPE-FRUIT, IMENICA
ĆULA, IMENICA
ELEKTRONEUTRALNI, PRIDJEV
ODAŠILJANJE, IMENICA
EURODEPOZIT, IMENICA
TUNG, IMENICA
DIELEKTRIČNOST, IMENICA
OSLIJEPLJENI, PRIDJEV
ČANGRIZALICA, IMENICA
NOVOBEOGRADSKI, PRIDJEV
NAJOVISNIJI, PRIDJEV
DEZIDEOLOGIZACIJA, IMENICA
BUKOANGULARNI, PRIDJEV
SUBLIMIRAJUĆI, PRILOG
NAJKRISTALNIJI, PRIDJEV
ONESPOSOBITI, GLAGOL
ARKUSKOSEKANS, IMENICA
SLIH, IMENICA
AUSTRIJSKO-SLOVAČKI, PRIDJEV
MEDITIRANJE, IMENICA
PORTRETIRANJE, IMENICA
NEZAMRZAVAJUĆI, PRIDJEV
TELEUREĐIVANJE, IMENICA
DB, KRATICA
STVRDNJAVATI, GLAGOL
INTENDANSKI, PRIDJEV
EKSKOMUNIKACIJA, IMENICA
NAJSAMODOPADNIJI, PRIDJEV
POSAKRIVATI, GLAGOL
SKLERODAKTILIJA, IMENICA
INFEKTOLOGIJA, IMENICA
PROGRAĐIVANJE, IMENICA
UDIO, IMENICA
DEMODIRAJUĆI, PRILOG
NAJPOETSKIJI, PRIDJEV
JUŽNOVIJETNAMSKI, PRIDJEV
MEĐUSTUPANJ, IMENICA
POJEDNOSTAVIJI, PRIDJEV
AKCEPJUĆIRAJUĆI, PRILOG
PROPRSJAČKI, IMENICA
REINKARNACIJA, IMENICA
SUPLEMENTARAN, PRIDJEV
RASKLIMAVŠI, PRILOG
VEGETIRAJUĆI, PRIDJEV
ANESTEZIRAVŠI, PRILOG
REVOLUCIONIRATI, GLAGOL
DEMANTIRAJUĆI, PRILOG
ISPUMPAVANJE, IMENICA
KONZERVATIVIZAM, IMENICA
REAKTIVIRANJE, IMENICA
TRANSGRANIČNI, PRIDJEV
VRŠA, IMENICA
PODMAZUJUĆI, PRILOG
POLIKLORIRANI, PRIDJEV
ISPOVIJEDAJUĆI, PRIDJEV
METADESKRIPCIJA, IMENICA
KARDIOKIRURG, IMENICA
NAJPRESTIŽNIJEGI, PRIDJEV
FETIŠIZIRAVŠI, PRILOG
MRTVOROĐENOST, IMENICA
TEHNOLOGIZIRANIJI, IMENICA
RETINOPATIJA, IMENICA
HISTOFIZIOLOGIJA, IMENICA
PRETRESANJE, IMENICA
SAMOPRIJAVLJIVATI, GLAGOL
LARRY, IMENICA
PODSJEĆANJE, IMENICA
PROTOPOVIJEST, IMENICA
MEĐUPREGRIJAČ, IMENICA
JED, IMENICA
ODRECITIRAVŠI, PRILOG
KRALJIČKOVIĆ, IMENICA
INDUSTRIJALAC, IMENICA
RASPOREĐIVAN, PRIDJEV
EKSHUMIRATI, GLAGOL
MIKROPREKIDAČ, IMENICA
ENANTIOSELEKTIVAN, PRIDJEV
NAJOTOČNIJI, PRIDJEV
INFICIRAJUĆI, PRIDJEV
RASADNIČARSKI, PRIDJEV
NERASHLAĐEN, PRIDJEV
KAPRICIOZNO, PRILOG
BEZIDEJNOST, IMENICA
ŽIROMAGNETSKI, PRIDJEV
UNOS, IMENICA
EPIDERMITIS, IMENICA
ODULJAVANJE, IMENICA
NAJNADUTIJI, PRIDJEV
POLUSVJETLO, IMENICA
NEURAČUNLJIVOST, IMENICA
DREM, IMENICA
SERITIZIRANJE, IMENICA
NAKARADNOST, IMENICA
PROTESTANTIZAM, IMENICA
SPORAZUMJETI, GLAGOL
ELEMENTARNI, PRIDJEV
VIKS, IMENICA
AKCELERIRATI, GLAGOL
