ZVUKOMJER, IMENICA
DEPRESIJA, IMENICA
OMOGUČITI, GLAGOL
STIMULANS, IMENICA
IZMAKNUTI, PRIDJEV
LEPETANJE, IMENICA
PRELOMIJA, IMENICA
VIZITKART, IMENICA
IZRAŽAJNO, PRILOG
HRANARINA, IMENICA
JACKASSOV, PRIDJEV
EUFRATSKI, PRIDJEV
DEROGIRAN, PRIDJEV
KRIŽOPUĆE, IMENICA
NADIJEVAN, PRIDJEV
POJASNICA, IMENICA
DORTMUNDA, IMENICA
ZADEBLJAN, PRIDJEV
PLJESNUTI, GLAGOL
SUHOZIDNI, PRIDJEV
BIGLISATI, GLAGOL
LJEČNIČKI, IMENICA
OTPETLJAN, PRIDJEV
KRASOTICA, IMENICA
IZGRLIVŠI, PRILOG
SRBOMRZAC, IMENICA
HEŠBONSKI, PRIDJEV
OSLOVLJEN, PRIDJEV
NADIRANJE, IMENICA
NAGOVARAČ, IMENICA
NAJDEBLJI, PRIDJEV
UMIJEŠATI, GLAGOL
APATINSKI, PRIDJEV
ČORBULJAK, IMENICA
SPREMNIJI, PRIDJEV
OTKRIVALO, IMENICA
ŠLJUNČARA, IMENICA
IZBATINAN, PRIDJEV
STANDARAN, PRIDJEV
DVOBRIDAN, PRIDJEV
DOHVAĆATI, GLAGOL
NEPUNJENI, PRIDJEV
FARBAJUĆI, PRIDJEV
JAHAONICA, IMENICA
STANDARDI, IMENICA
LJEPLJIVI, PRIDJEV
UMJETNINA, IMENICA
ZRINJEVAC, IMENICA
DINAMIČAR, IMENICA
JEZERINAC, IMENICA
DOKOVANJE, IMENICA
KARTELITI, GLAGOL
LJESTVICA, IMENICA
ODABIRUĆI, PRILOG
ZAČINIVŠI, PRILOG
FOSTIAZAT, IMENICA
BENNETTOV, PRIDJEV
KONFORMAN, PRIDJEV
TOSIKOLOG, IMENICA
ODMAKLITI, GLAGOL
TRŠĆANKIN, PRIDJEV
ĆUDLJIVAC, IMENICA
VJEVERICA, IMENICA
ODSUDNOST, IMENICA
MONOMOTOR, IMENICA
ANIMIRATI, GLAGOL
NUTRIENTI, IMENICA
KAMFEKLOR, IMENICA
IZMOTAVŠI, PRILOG
BEJRUTSKI, PRIDJEV
SEDLOVSKI, PRIDJEV
UNUTRANJI, PRIDJEV
IZMISLITI, GLAGOL
DULJINSKI, PRIDJEV
LOVLJENJE, IMENICA
ŠKROPLJEN, PRIDJEV
DOKIRAVŠI, PRILOG
JAKOBINAC, IMENICA
OKSONIJEV, IMENICA
STUPOVLJE, IMENICA
SIROMAHIM, IMENICA
ASIMPTOTA, IMENICA
BURGUNDAC, IMENICA
BILJOŽDER, IMENICA
KAMENCITI, GLAGOL
MASLINJAK, IMENICA
PROSUDBEN, PRIDJEV
SKRBNIČKI, PRIDJEV
ZAROBIVŠI, PRILOG
ČETINJAČE, IMENICA
SKLUPČATI, GLAGOL
EKSPLICIT, IMENICA
